metacritic_id;image_link
354;https://media.rawg.io/media/screenshots/c39/c392583256e3b11fa219faf44ae57e50.jpg
356;https://media.rawg.io/media/screenshots/ba3/ba3acd65844a0507271d78978352e33e.jpg
357;https://media.rawg.io/media/screenshots/044/0444b130fae0e4fa78afa02dec723566.jpg
358;https://media.rawg.io/media/screenshots/9a4/9a4b989e145a834e68cace52e43e99dd.jpg
359;https://media.rawg.io/media/screenshots/07f/07f51f6e7a4397b2048b8805b0e08743.jpg
362;https://media.rawg.io/media/games/2b7/2b7252fb74d5db2372144a0fb03812da.jpg
363;https://media.rawg.io/media/games/a49/a4991c35602884e0b0af9c62afb10ff5.jpg
364;https://media.rawg.io/media/screenshots/7e2/7e2613782d39384ee6ef96f67c872064.jpg
367;https://media.rawg.io/media/games/3ef/3ef0dc5bda761da51de4dcb170dcf32a.jpg
368;https://media.rawg.io/media/games/d5d/d5d1285eda70648606e4ce108d8e82b9.jpg
369;https://media.rawg.io/media/screenshots/6ab/6ab25a8aeb2d62bbd9da47c5faf58c40.jpg
371;https://media.rawg.io/media/screenshots/fcb/fcbd1de32544459a548474a3017750ad.jpg
372;https://media.rawg.io/media/games/0a5/0a5085a3fbe26be9cf9f96ff8c12746d.jpg
373;https://media.rawg.io/media/screenshots/3dc/3dcad8008c0dc5ea0d124cfaeb390e60.jpg
374;https://media.rawg.io/media/games/725/725131e129692ec32ed62e9e405f5f4c.jpg
375;https://media.rawg.io/media/screenshots/a16/a1661a106297bb52f6cdc61183e4f067.jpg
376;https://media.rawg.io/media/screenshots/70f/70f59f7f0d1d4b1656050ffc7c568694.jpg
377;https://media.rawg.io/media/screenshots/57a/57a1551d54b04f08962a11c5a8f9083d.jpg
378;https://media.rawg.io/media/screenshots/9f6/9f6d4bcec6f90c222f8c2389aa3cd4b9.jpg
379;https://media.rawg.io/media/screenshots/809/809c9eaa483f647c510d8c20e0e8a7cb.jpg
381;https://media.rawg.io/media/screenshots/520/520aa70738b8cc35d148074a6a6b9f4f.jpg
383;https://media.rawg.io/media/games/c03/c03965311ed72ba0629b84f4db45aebf.jpg
384;https://media.rawg.io/media/screenshots/8c1/8c13b3764366d327a30aa70073e2b98c.jpg
385;https://media.rawg.io/media/screenshots/d97/d971d1556e75cc189af75f28c3394897.jpg
386;https://media.rawg.io/media/games/3dd/3ddf27683a9aecf1cf39605100651a99.jpg
388;https://media.rawg.io/media/screenshots/c75/c75f83d346ded0cb785e0649e0ac10cd.jpg
390;https://media.rawg.io/media/screenshots/19d/19d3effb85e8f40d0b5b004fb5ab5c76.jpg
391;https://media.rawg.io/media/screenshots/b23/b23b3b0f25b10123c0338cf9f5c8bc12.jpg
392;https://media.rawg.io/media/screenshots/a3a/a3a013d21a8755496ceb17e6e861be8a.jpg
394;https://media.rawg.io/media/screenshots/d7c/d7c4f25a0a8c1b69a1fe84ea3aa67f27.jpg
395;https://media.rawg.io/media/screenshots/0cc/0cc4ac920255393a81ad45958b5496a6.jpg
396;https://media.rawg.io/media/screenshots/ab0/ab0518767d173d361df43f10b453564e.jpg
398;https://media.rawg.io/media/screenshots/71b/71b1acebf999853c2a64514ac34cbd75.jpg
399;https://media.rawg.io/media/screenshots/6d0/6d08548020769cd05d90e332ac90b7d2.jpg
400;https://media.rawg.io/media/screenshots/7f7/7f75f955636e72e7f3e5ab3fad51c7d8.jpg
401;https://media.rawg.io/media/screenshots/37a/37a2c00af5d669ddbedd19319e948b23.jpg
402;https://media.rawg.io/media/games/21c/21cc15d233117c6809ec86870559e105.jpg
403;https://media.rawg.io/media/screenshots/724/724b8344d091194231782a0712e31572.jpg
404;https://media.rawg.io/media/screenshots/69f/69fe566a79e9f14fc76c56f47c1f6cc4.jpg
405;https://media.rawg.io/media/games/586/5862351f30cfe0b4e11e48916c8cff71.jpg
408;https://media.rawg.io/media/screenshots/c1b/c1b13b247fa439ccabd65c29db90368c.jpg
409;https://media.rawg.io/media/screenshots/dbd/dbd43988f23859529e1a8c600c6a7e24.jpg
